file,path,gender_on_disk,in_resolver,resolver_genders,muscle,location,goal,gender
GluteusMedius_BarbellSquat_Gym_General_Male_2.mp4,/videos/back-muscles/male/GluteusMedius_BarbellSquat_Gym_General_Male_2.mp4,male,True,male,GluteusMedius,gym,general,male
GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Female_1.mp4,/videos/back-muscles/male/GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Female_1.mp4,male,True,male,GluteusMedius,home,build,male
GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Female_2.mp4,/videos/back-muscles/male/GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Female_2.mp4,male,True,male,GluteusMedius,home,build,male
GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Male_1.mp4,/videos/back-muscles/male/GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Male_1.mp4,male,True,male,GluteusMedius,home,build,male
GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Male_2.mp4,/videos/back-muscles/male/GluteusMedius_BodyweightStaggeredWaitersBow_Home_Build_Male_2.mp4,male,True,male,GluteusMedius,home,build,male
GluteusMedius_MachineGluteKickback_Gym_Build_Female_1.mp4,/videos/back-muscles/female/GluteusMedius_MachineGluteKickback_Gym_Build_Female_1.mp4,female,True,female,GluteusMedius,gym,build,female
GluteusMedius_MachineGluteKickback_Gym_Build_Female_2.mp4,/videos/back-muscles/female/GluteusMedius_MachineGluteKickback_Gym_Build_Female_2.mp4,female,True,female,GluteusMedius,gym,build,female
GluteusMedius_MachineGluteKickback_Gym_Build_Male_1.mp4,/videos/back-muscles/male/GluteusMedius_MachineGluteKickback_Gym_Build_Male_1.mp4,male,True,male,GluteusMedius,gym,build,male
GluteusMedius_MachineGluteKickback_Gym_Build_Male_2.mp4,/videos/back-muscles/male/GluteusMedius_MachineGluteKickback_Gym_Build_Male_2.mp4,male,True,male,GluteusMedius,gym,build,male
GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Female_1.mp4,/videos/back-muscles/female/GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Female_1.mp4,female,True,female,GluteusMedius,home,general,female
GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Female_2.mp4,/videos/back-muscles/female/GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Female_2.mp4,female,True,female,GluteusMedius,home,general,female
GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Male_1.mp4,/videos/back-muscles/male/GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Male_1.mp4,male,True,male,GluteusMedius,home,general,male
GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Male_2.mp4,/videos/back-muscles/male/GluteusMedius_SingleLeggedRomanianDeadlifts_Home_General_Male_2.mp4,male,True,male,GluteusMedius,home,general,male
Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Female_1.mp4,/videos/back-muscles/female/Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Female_1.mp4,female,True,female,Hamstrings,gym,build,female
Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Female_2.mp4,/videos/back-muscles/female/Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Female_2.mp4,female,True,female,Hamstrings,gym,build,female
Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Male_1.mp4,/videos/back-muscles/male/Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Male_1.mp4,male,True,male,Hamstrings,gym,build,male
Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Male_2.mp4,/videos/back-muscles/male/Hamstrings_BarbellStiffLegDeadlifts_Gym_Build_Male_2.mp4,male,True,male,Hamstrings,gym,build,male
Hamstrings_BodyweightWaitersBow_Home_General_Female_1.mp4,/videos/back-muscles/female/Hamstrings_BodyweightWaitersBow_Home_General_Female_1.mp4,female,True,female,Hamstrings,home,general,female
Hamstrings_BodyweightWaitersBow_Home_General_Female_2.mp4,/videos/back-muscles/female/Hamstrings_BodyweightWaitersBow_Home_General_Female_2.mp4,female,True,female,Hamstrings,home,general,female
Hamstrings_BodyweightWaitersBow_Home_General_Male_1.mp4,/videos/back-muscles/male/Hamstrings_BodyweightWaitersBow_Home_General_Male_1.mp4,male,True,male,Hamstrings,home,general,male
Hamstrings_BodyweightWaitersBow_Home_General_Male_2.mp4,/videos/back-muscles/male/Hamstrings_BodyweightWaitersBow_Home_General_Male_2.mp4,male,True,male,Hamstrings,home,general,male
Hamstrings_LandmineRomanianDeadlift_Gym_General_Female_1.mp4,/videos/back-muscles/female/Hamstrings_LandmineRomanianDeadlift_Gym_General_Female_1.mp4,female,True,female,Hamstrings,gym,general,female
Hamstrings_LandmineRomanianDeadlift_Gym_General_Female_2.mp4,/videos/back-muscles/female/Hamstrings_LandmineRomanianDeadlift_Gym_General_Female_2.mp4,female,True,female,Hamstrings,gym,general,female
Hamstrings_LandmineRomanianDeadlift_Gym_General_Male_1.mp4,/videos/back-muscles/male/Hamstrings_LandmineRomanianDeadlift_Gym_General_Male_1.mp4,male,True,male,Hamstrings,gym,general,male
Hamstrings_LandmineRomanianDeadlift_Gym_General_Male_2.mp4,/videos/back-muscles/male/Hamstrings_LandmineRomanianDeadlift_Gym_General_Male_2.mp4,male,True,male,Hamstrings,gym,general,male
Hamstrings_SingleLeggedRomanianDeadlifts_Home_Build_Female_1.mp4,/videos/back-muscles/female/Hamstrings_SingleLeggedRomanianDeadlifts_Home_Build_Female_1.mp4,female,True,female,Hamstrings,home,build,female
Hamstrings_SingleLeggedRomanianDeadlifts_Home_Build_Female_2.mp4,/videos/back-muscles/female/Hamstrings_SingleLeggedRomanianDeadlifts_Home_Build_Female_2.mp4,female,True,female,Hamstrings,home,build,female
Hamstrings_SingleLeggedRomanianDeadlifts_Home_Build_Male_1.mp4,/videos/back-muscles/male/Hamstrings_SingleLeggedRomanianDeadlifts_Home_Build_Male_1.mp4,male,True,male,Hamstrings,home,build,male
Hamstrings_SingleLeggedRomanianDeadlifts_Home_Build_Male_2.mp4,/videos/back-muscles/male/Hamstrings_SingleLeggedRomanianDeadlifts_Home_Build_Male_2.mp4,male,True,male,Hamstrings,home,build,male
LatissimusDorsi_BodyweightSupermanRow_Home_Build_Female_1.mp4,/videos/back-muscles/female/LatissimusDorsi_BodyweightSupermanRow_Home_Build_Female_1.mp4,female,True,female,LatissimusDorsi,home,build,female
LatissimusDorsi_BodyweightSupermanRow_Home_Build_Female_2.mp4,/videos/back-muscles/female/LatissimusDorsi_BodyweightSupermanRow_Home_Build_Female_2.mp4,female,True,female,LatissimusDorsi,home,build,female
LatissimusDorsi_BodyweightSupermanRow_Home_Build_Male_1.mp4,/videos/back-muscles/male/LatissimusDorsi_BodyweightSupermanRow_Home_Build_Male_1.mp4,male,True,male,LatissimusDorsi,home,build,male
LatissimusDorsi_BodyweightSupermanRow_Home_Build_Male_2.mp4,/videos/back-muscles/male/LatissimusDorsi_BodyweightSupermanRow_Home_Build_Male_2.mp4,male,True,male,LatissimusDorsi,home,build,male
LatissimusDorsi_LatPulldown_Gym_Build_Female_1.mp4,/videos/back-muscles/female/LatissimusDorsi_LatPulldown_Gym_Build_Female_1.mp4,female,True,female,LatissimusDorsi,gym,build,female
LatissimusDorsi_LatPulldown_Gym_Build_Female_2.mp4,/videos/back-muscles/female/LatissimusDorsi_LatPulldown_Gym_Build_Female_2.mp4,female,True,female,LatissimusDorsi,gym,build,female
LatissimusDorsi_LatPulldown_Gym_Build_Male_1.mp4,/videos/back-muscles/male/LatissimusDorsi_LatPulldown_Gym_Build_Male_1.mp4,male,True,male,LatissimusDorsi,gym,build,male
LatissimusDorsi_LatPulldown_Gym_Build_Male_2.mp4,/videos/back-muscles/male/LatissimusDorsi_LatPulldown_Gym_Build_Male_2.mp4,male,True,male,LatissimusDorsi,gym,build,male
LatissimusDorsi_SeatedCableRow_Gym_General_Female_1.mp4,/videos/back-muscles/female/LatissimusDorsi_SeatedCableRow_Gym_General_Female_1.mp4,female,True,female,LatissimusDorsi,gym,general,female
LatissimusDorsi_SeatedCableRow_Gym_General_Female_2.mp4,/videos/back-muscles/female/LatissimusDorsi_SeatedCableRow_Gym_General_Female_2.mp4,female,True,female,LatissimusDorsi,gym,general,female
LatissimusDorsi_SeatedCableRow_Gym_General_Male_1.mp4,/videos/back-muscles/male/LatissimusDorsi_SeatedCableRow_Gym_General_Male_1.mp4,male,True,male,LatissimusDorsi,gym,general,male
LatissimusDorsi_SeatedCableRow_Gym_General_Male_2.mp4,/videos/back-muscles/male/LatissimusDorsi_SeatedCableRow_Gym_General_Male_2.mp4,male,True,male,LatissimusDorsi,gym,general,male
LatissimusDorsi_SupermanHold_Home_General_Female_1.mp4,/videos/back-muscles/female/LatissimusDorsi_SupermanHold_Home_General_Female_1.mp4,female,True,female,LatissimusDorsi,home,general,female
LatissimusDorsi_SupermanHold_Home_General_Female_2.mp4,/videos/back-muscles/female/LatissimusDorsi_SupermanHold_Home_General_Female_2.mp4,female,True,female,LatissimusDorsi,home,general,female
LatissimusDorsi_SupermanHold_Home_General_Male_1.mp4,/videos/back-muscles/male/LatissimusDorsi_SupermanHold_Home_General_Male_1.mp4,male,True,male,LatissimusDorsi,home,general,male
LatissimusDorsi_SupermanHold_Home_General_Male_2.mp4,/videos/back-muscles/male/LatissimusDorsi_SupermanHold_Home_General_Male_2.mp4,male,True,male,LatissimusDorsi,home,general,male
PosteriorDeltoid_BodyweightReverseFly_Home_Build_Female_1.mp4,/videos/back-muscles/female/PosteriorDeltoid_BodyweightReverseFly_Home_Build_Female_1.mp4,female,True,female,PosteriorDeltoid,home,build,female
PosteriorDeltoid_BodyweightReverseFly_Home_Build_Female_2.mp4,/videos/back-muscles/female/PosteriorDeltoid_BodyweightReverseFly_Home_Build_Female_2.mp4,female,True,female,PosteriorDeltoid,home,build,female
PosteriorDeltoid_BodyweightReverseFly_Home_Build_Male_1.mp4,/videos/back-muscles/male/PosteriorDeltoid_BodyweightReverseFly_Home_Build_Male_1.mp4,male,True,male,PosteriorDeltoid,home,build,male
PosteriorDeltoid_BodyweightReverseFly_Home_Build_Male_2.mp4,/videos/back-muscles/male/PosteriorDeltoid_BodyweightReverseFly_Home_Build_Male_2.mp4,male,True,male,PosteriorDeltoid,home,build,male
PosteriorDeltoid_FacePull_Gym_General_Female_1.mp4,/videos/back-muscles/female/PosteriorDeltoid_FacePull_Gym_General_Female_1.mp4,female,True,female,PosteriorDeltoid,gym,general,female
PosteriorDeltoid_FacePull_Gym_General_Female_2.mp4,/videos/back-muscles/female/PosteriorDeltoid_FacePull_Gym_General_Female_2.mp4,female,True,female,PosteriorDeltoid,gym,general,female
PosteriorDeltoid_FacePull_Gym_General_Male_1.mp4,/videos/back-muscles/male/PosteriorDeltoid_FacePull_Gym_General_Male_1.mp4,male,True,male,PosteriorDeltoid,gym,general,male
PosteriorDeltoid_FacePull_Gym_General_Male_2.mp4,/videos/back-muscles/male/PosteriorDeltoid_FacePull_Gym_General_Male_2.mp4,male,True,male,PosteriorDeltoid,gym,general,male
PosteriorDeltoid_ReversePecDeck_Gym_Build_Female_1.mp4,/videos/back-muscles/female/PosteriorDeltoid_ReversePecDeck_Gym_Build_Female_1.mp4,female,True,female,PosteriorDeltoid,gym,build,female
PosteriorDeltoid_ReversePecDeck_Gym_Build_Female_2.mp4,/videos/back-muscles/female/PosteriorDeltoid_ReversePecDeck_Gym_Build_Female_2.mp4,female,True,female,PosteriorDeltoid,gym,build,female
PosteriorDeltoid_ReversePecDeck_Gym_Build_Male_1.mp4,/videos/back-muscles/male/PosteriorDeltoid_ReversePecDeck_Gym_Build_Male_1.mp4,male,True,male,PosteriorDeltoid,gym,build,male
PosteriorDeltoid_ReversePecDeck_Gym_Build_Male_2.mp4,/videos/back-muscles/male/PosteriorDeltoid_ReversePecDeck_Gym_Build_Male_2.mp4,male,True,male,PosteriorDeltoid,gym,build,male
PosteriorDeltoid_SupermanHold_Home_General_Female_1.mp4,/videos/back-muscles/female/PosteriorDeltoid_SupermanHold_Home_General_Female_1.mp4,female,True,female,PosteriorDeltoid,home,general,female
PosteriorDeltoid_SupermanHold_Home_General_Female_2.mp4,/videos/back-muscles/female/PosteriorDeltoid_SupermanHold_Home_General_Female_2.mp4,female,True,female,PosteriorDeltoid,home,general,female
PosteriorDeltoid_SupermanHold_Home_General_Male_1.mp4,/videos/back-muscles/male/PosteriorDeltoid_SupermanHold_Home_General_Male_1.mp4,male,True,male,PosteriorDeltoid,home,general,male
PosteriorDeltoid_SupermanHold_Home_General_Male_2.mp4,/videos/back-muscles/male/PosteriorDeltoid_SupermanHold_Home_General_Male_2.mp4,male,True,male,PosteriorDeltoid,home,general,male
Soleus_BodyweightCalfRaise_Home_Build_Female_1.mp4,/videos/back-muscles/female/Soleus_BodyweightCalfRaise_Home_Build_Female_1.mp4,female,True,female,Soleus,home,build,female
Soleus_BodyweightCalfRaise_Home_Build_Female_2.mp4,/videos/back-muscles/female/Soleus_BodyweightCalfRaise_Home_Build_Female_2.mp4,female,True,female,Soleus,home,build,female
Soleus_BodyweightCalfRaise_Home_Build_Male_1.mp4,/videos/back-muscles/male/Soleus_BodyweightCalfRaise_Home_Build_Male_1.mp4,male,True,male,Soleus,home,build,male
Soleus_BodyweightCalfRaise_Home_Build_Male_2.mp4,/videos/back-muscles/male/Soleus_BodyweightCalfRaise_Home_Build_Male_2.mp4,male,True,male,Soleus,home,build,male
Soleus_SeatedCalfRaise_Gym_Build_Female_1.mp4,/videos/back-muscles/female/Soleus_SeatedCalfRaise_Gym_Build_Female_1.mp4,female,True,female,Soleus,gym,build,female
Soleus_SeatedCalfRaise_Gym_Build_Female_2.mp4,/videos/back-muscles/female/Soleus_SeatedCalfRaise_Gym_Build_Female_2.mp4,female,True,female,Soleus,gym,build,female
